name,album,release_date,track_number,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,category_popularity,min_duration,duration_category,dance_category,energy_category,valence_category
Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,1,spotify:track:4WUepByoeqcedHoYhSNHRt,0.00942,0.757,0.61,3.66e-05,0.367,-4.84,0.0327,116.998,0.685,80,High,3.5433333333333334,Medium,Very danceable,Moderate energy,Positive
Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,2,spotify:track:0108kcWLnn2HlH2kedi1gn,0.0885,0.733,0.733,0.0,0.168,-5.376,0.067,96.057,0.701,80,High,3.8638833333333333,Medium,Moderately danceable,Moderate energy,Positive
Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,3,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd,0.000421,0.511,0.822,0.0197,0.0899,-4.785,0.0397,94.868,0.305,81,High,3.85,Medium,Moderately danceable,High energy,Negative
Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,4,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ,0.000537,0.545,0.885,5.59e-05,0.385,-5.968,0.0447,92.021,0.206,80,High,3.93,Medium,Moderately danceable,High energy,Negative
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,5,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ,0.000656,0.588,0.721,0.0,0.131,-5.579,0.0317,96.997,0.52,79,High,3.2214833333333335,Short,Moderately danceable,Moderate energy,Neutral
Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,6,spotify:track:50yNTF0Od55qnHLxYsA5Pw,0.0121,0.636,0.808,2.18e-05,0.359,-5.693,0.0729,160.058,0.917,79,High,3.6534833333333334,Medium,Moderately danceable,High energy,Positive
I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,7,spotify:track:3FxJDucHWdw6caWTKO5b23,0.00354,0.67,0.858,1.25e-05,0.0687,-6.528,0.0439,118.009,0.539,79,High,3.4608333333333334,Short,Moderately danceable,High energy,Neutral
Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,8,spotify:track:7oZONwFiFIErZcXAtTu7FY,0.0362,0.618,0.683,0.0,0.305,-6.438,0.194,169.971,0.363,78,High,3.5183833333333334,Short,Moderately danceable,Moderate energy,Neutral
Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,9,spotify:track:27exgla7YBw9DUNNcTIpjy,0.0436,0.589,0.674,7.18e-05,0.112,-7.48,0.0656,139.985,0.514,78,High,3.6738833333333334,Medium,Moderately danceable,Moderate energy,Neutral
How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,10,spotify:track:733OhaXQIHY7BKtY3vnSkn,0.00196,0.758,0.691,1.09e-05,0.0939,-5.798,0.0515,119.997,0.538,78,High,4.12555,Medium,Very danceable,Moderate energy,Neutral
This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],2023-10-27,11,spotify:track:4WBEj8TeGtRPNJdOmT3WJW,0.316,0.471,0.509,0.0,0.0673,-8.796,0.0355,144.071,0.0567,77,High,4.168333333333333,Medium,Not very danceable,Moderate energy,Negative
