City,Country,Venue,Opening act(s),Revenue,Tour,Latitude,Longitude,Tickets sold,Available,Difference,concert_date
Evansville,United States,Roberts Municipal Stadium,Gloriana and Kellie Pickler,360617.0,Fearless Tour,37.970495,-87.5715641,7463.0,7463.0,0.0,2009-04-23
Jonesboro,United States,Convocation Center,Gloriana and Kellie Pickler,340328.0,Fearless Tour,35.8272257,-90.6949871,7822.0,7822.0,0.0,2009-04-24
St. Louis,United States,Scottrade Center,Gloriana and Kellie Pickler,650420.0,Fearless Tour,38.6280278,-90.1910154,13764.0,13764.0,0.0,2009-04-25
Alexandria,United States,Bishop Ireton High School,Gloriana and Kellie Pickler,0.0,Fearless Tour,38.8051095,-77.0470229,,,,2009-04-28
North Charleston,United States,North Charleston Coliseum,Gloriana and Kellie Pickler,398154.0,Fearless Tour,32.8546197,-79.9748103,8751.0,8751.0,0.0,2009-04-30
Jacksonville,United States,Jacksonville Veterans Memorial Arena,Gloriana and Kellie Pickler,507012.0,Fearless Tour,30.3321838,-81.655651,11072.0,11072.0,0.0,2009-05-01
Biloxi,United States,Mississippi Coast Coliseum,Gloriana and Kellie Pickler,437313.0,Fearless Tour,30.4007626,-88.8893818,9436.0,9436.0,0.0,2009-05-02
London,England,Shepherd's Bush Empire,,401328.0,Fearless Tour,51.5074456,-0.1277653,6789.0,6789.0,0.0,2009-05-06
London,England,Shepherd's Bush Empire,,401328.0,Fearless Tour,51.5074456,-0.1277653,6789.0,6789.0,0.0,2009-05-07
London,England,Shepherd's Bush Empire,,401328.0,Fearless Tour,51.5074456,-0.1277653,6789.0,6789.0,0.0,2009-05-06
London,England,Shepherd's Bush Empire,,401328.0,Fearless Tour,51.5074456,-0.1277653,6789.0,6789.0,0.0,2009-05-07
Spokane,United States,Spokane Arena,Gloriana and Kellie Pickler,482146.0,Fearless Tour,47.6571934,-117.42351,10798.0,10798.0,0.0,2009-05-14
Seattle,United States,KeyArena,Gloriana and Kellie Pickler,528637.0,Fearless Tour,47.6038321,-122.330062,12061.0,12061.0,0.0,2009-05-15
Portland,United States,Moda Center,Gloriana and Kellie Pickler,613284.0,Fearless Tour,45.5202471,-122.674194,13226.0,13226.0,0.0,2009-05-16
Nampa,United States,Ford Arena,Gloriana and Kellie Pickler,413622.0,Fearless Tour,43.5737361,-116.559631,8970.0,8970.0,0.0,2009-05-17
Glendale,United States,Jobing.com Arena,Gloriana and Kellie Pickler,647923.0,Fearless Tour,34.1469416,-118.2478471,13052.0,13052.0,0.0,2009-05-21
Los Angeles,United States,Staples Center,Gloriana and Kellie Pickler,720940.0,Fearless Tour,34.0536909,-118.242766,13648.0,13648.0,0.0,2010-04-15
Los Angeles,United States,Staples Center,Gloriana and Kellie Pickler,720940.0,Fearless Tour,34.0536909,-118.242766,13648.0,13648.0,0.0,2010-04-16
Las Vegas,United States,Mandalay Bay Events Center,Gloriana and Kellie Pickler,551051.0,Fearless Tour,36.1011223,-115.1479329,8311.0,8311.0,0.0,2009-05-23
San Diego,United States,Valley View Casino Center,Gloriana and Kellie Pickler,502689.0,Fearless Tour,32.7174202,-117.1627728,10174.0,10174.0,0.0,2009-05-24
Salt Lake City,United States,EnergySolutions Arena,Gloriana and Kellie Pickler,555207.0,Fearless Tour,40.7596198,-111.886797,13042.0,13042.0,0.0,2009-05-26
New Brockton,United States,BamaJam Farms,,0.0,Fearless Tour,31.3857239,-85.9293861,,,,
Columbia,United States,Merriweather Post Pavilion,Gloriana and Kellie Pickler,608438.0,Fearless Tour,34.0003117,-81.0331309,17619.0,17619.0,0.0,2009-06-11
Greensboro,United States,Greensboro Coliseum Complex,Gloriana and Kellie Pickler,690959.0,Fearless Tour,36.0726355,-79.7919754,14641.0,14641.0,0.0,2009-06-12
Oshkosh,United States,Ford Festival Park,,0.0,Fearless Tour,44.0206919,-88.5408574,,,,2009-06-24
Cadott,United States,Amphitheatre Concert Grounds,,0.0,Fearless Tour,44.9480187,-91.1507031,,,,2009-06-25
Calgary,Canada,Pengrowth Saddledome,Gloriana and Kellie Pickler,0.0,Fearless Tour,51.0456064,-114.057541,,,,2009-07-08
Edmonton,Canada,Commonwealth Stadium,,2540906.0,Fearless Tour,53.5462055,-113.491241,33910.0,44500.0,10590.0,2009-07-09
Craven,Canada,Big Valley Park,,0.0,Fearless Tour,50.7072638,-104.8092048,,,,2009-07-10
Winnipeg,Canada,MTS Centre,Gloriana and Kellie Pickler,512487.0,Fearless Tour,49.8955367,-97.1384584,11369.0,11369.0,0.0,2009-07-11
Twin Lakes,United States,Country Thunder Festival,,0.0,Fearless Tour,43.5596779,-93.4229885,,,,2009-07-16
